Image,Diameter
Img000000.bmp,130.38404810405297
Img000001.bmp,119.80818002123227
Img000002.bmp,122.44182292011173
Img000003.bmp,129.72663566130126
Img000004.bmp,119.80818002123227
Img000005.bmp,124.32618388738553
Img000006.bmp,123.06502346320826
Img000007.bmp,120.42009799032718
Img000008.bmp,117.29023829799307
Img000009.bmp,131.71180660821565
Img000010.bmp,127.66362050325849
Img000011.bmp,122.44182292011173
Img000012.bmp,127.66362050325849
Img000013.bmp,119.80818002123227
Img000014.bmp,48.46648326421054
Img000015.bmp,122.44182292011173
Img000016.bmp,124.32618388738553
Img000017.bmp,116.66190466471906
Img000018.bmp,119.80818002123227
Img000019.bmp,119.20151005754919
Img000020.bmp,117.2006825918689
Img000021.bmp,117.80067911519016
Img000022.bmp,131.71180660821565
Img000023.bmp,122.44182292011173
Img000024.bmp,119.80818002123227
Img000025.bmp,47.853944456021594
Img000026.bmp,119.80818002123227
Img000027.bmp,40.311288741492746
Img000028.bmp,119.80818002123227
Img000029.bmp,127.66362050325849
Img000030.bmp,124.32618388738553
Img000031.bmp,122.44182292011173
Img000032.bmp,123.06502346320826
Img000033.bmp,47.853944456021594
Img000034.bmp,119.80818002123227
Img000035.bmp,129.5569372901351
Img000036.bmp,119.80818002123227
Img000037.bmp,127.66362050325849
Img000038.bmp,119.80818002123227
Img000039.bmp,121.03718436910205
Img000040.bmp,127.01574705523721
Img000041.bmp,51.894122981316485
Img000042.bmp,124.32618388738553
Img000043.bmp,125.73384588089239
Img000044.bmp,39.56008088970496
Img000045.bmp,119.80818002123227
Img000046.bmp,117.2006825918689
Img000047.bmp,119.20151005754919
Img000048.bmp,124.32618388738553
Img000049.bmp,120.88010589009261
Img000050.bmp,124.32618388738553
Img000051.bmp,120.88010589009261
Img000052.bmp,117.2006825918689
Img000053.bmp,120.88010589009261
Img000054.bmp,45.69463863518345
Img000055.bmp,124.32618388738553
Img000056.bmp,116.66190466471906
Img000057.bmp,50.99019513592785
Img000058.bmp,131.71180660821565
Img000059.bmp,116.66190466471906
Img000060.bmp,55.362442142665635
Img000061.bmp,122.67436570041843
Img000062.bmp,131.71180660821565
Img000063.bmp,127.01574705523721
Img000064.bmp,127.66362050325849
Img000065.bmp,49.658836071740545
Img000066.bmp,49.658836071740545
Img000067.bmp,131.71180660821565
Img000068.bmp,69.6419413859206
Img000069.bmp,119.80818002123227
Img000070.bmp,122.44182292011173
Img000071.bmp,121.26417442921878
Img000072.bmp,119.80818002123227
Img000073.bmp,123.06502346320826
Img000074.bmp,117.2006825918689
Img000075.bmp,119.80818002123227
Img000076.bmp,119.80818002123227
Img000077.bmp,131.71180660821565
Img000078.bmp,131.71180660821565
Img000079.bmp,116.66190466471906
Img000080.bmp,49.658836071740545
Img000081.bmp,116.01724009818541
Img000082.bmp,116.66190466471906
Img000083.bmp,119.80818002123227
Img000084.bmp,124.32618388738553
Img000085.bmp,124.32618388738553
Img000086.bmp,122.44182292011173
Img000087.bmp,121.03718436910205
Img000088.bmp,117.2006825918689
Img000089.bmp,131.71180660821565
Img000090.bmp,127.66362050325849
Img000091.bmp,116.66190466471906
Img000092.bmp,119.20151005754919
Img000093.bmp,43.382023926967726
Img000094.bmp,65.7875368135941
Img000095.bmp,127.66362050325849
Img000096.bmp,47.853944456021594
Img000097.bmp,122.44182292011173
Img000098.bmp,122.44182292011173
Img000099.bmp,121.03718436910205
Img000100.bmp,117.2006825918689
Img000101.bmp,50.99019513592785
Img000102.bmp,123.06502346320826
Img000103.bmp,127.66362050325849
Img000104.bmp,127.66362050325849
Img000105.bmp,117.2006825918689
Img000106.bmp,123.06502346320826
Img000107.bmp,119.80818002123227
Img000108.bmp,119.80818002123227
Img000109.bmp,63.56886030125127
Img000110.bmp,116.66190466471906
Img000111.bmp,116.66190466471906
Img000112.bmp,47.853944456021594
Img000113.bmp,123.06502346320826
Img000114.bmp,119.80818002123227
Img000115.bmp,122.44182292011173
Img000116.bmp,131.71180660821565
Img000117.bmp,130.29965464267354
Img000118.bmp,127.66362050325849
Img000119.bmp,131.71180660821565
Img000120.bmp,130.29965464267354
Img000121.bmp,124.32618388738553
Img000122.bmp,116.01724009818541
Img000123.bmp,122.44182292011173
Img000124.bmp,118.69709347747316
Img000125.bmp,124.32618388738553
Img000126.bmp,124.32618388738553
Img000127.bmp,117.2006825918689
Img000128.bmp,118.69709347747316
Img000129.bmp,123.06502346320826
Img000130.bmp,127.66362050325849
Img000131.bmp,124.19742348374221
Img000132.bmp,127.01574705523721
Img000133.bmp,124.19742348374221
Img000134.bmp,124.32618388738553
Img000135.bmp,116.66190466471906
Img000136.bmp,124.19742348374221
Img000137.bmp,124.32618388738553
Img000138.bmp,130.29965464267354
Img000139.bmp,117.2006825918689
Img000140.bmp,43.382023926967726
Img000141.bmp,38.07886552931954
Img000142.bmp,116.66190466471906
Img000143.bmp,119.80818002123227
Img000144.bmp,119.80818002123227
Img000145.bmp,119.80818002123227
Img000146.bmp,123.06502346320826
Img000147.bmp,119.80818002123227
Img000148.bmp,127.66362050325849
Img000149.bmp,63.56886030125127
